"No.","Time","Source","Destination","Protocol","Length","Info","rtt","loss"
"38","5.176451548","13.75.106.0","192.168.1.10","TCP","54","443  >  46287 [ACK] Seq=3764 Ack=257 Win=2048 Len=0","0.149960469",""
"62","5.392350715","52.114.15.57","192.168.1.10","TCP","66","443  >  38629 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 WS=256 SACK_PERM=1","0.070807822",""
"70","5.462016102","20.185.212.106","192.168.1.10","TCP","54","443  >  37640 [ACK] Seq=3050 Ack=2651 Win=2051 Len=0","0.227805281",""
"71","5.464474149","52.114.15.57","192.168.1.10","TCP","2878","443  >  38629 [ACK] Seq=1 Ack=300 Win=524800 Len=2824 [TCP segment of a reassembled PDU]","0.071863622",""
"79","5.571500245","52.114.15.57","192.168.1.10","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message","0.086640785",""
"84","5.695849388","52.114.15.57","192.168.1.10","TCP","54","443  >  38629 [ACK] Seq=4216 Ack=1051 Win=524032 Len=0","0.124163245",""
"97","7.781992462","52.114.15.57","192.168.1.10","TCP","54","443  >  38629 [ACK] Seq=4797 Ack=1644 Win=525056 Len=0","0.159088095",""
"104","9.599343915","20.185.212.106","192.168.1.10","TCP","54","443  >  37642 [ACK] Seq=1 Ack=2546 Win=2051 Len=0","0.266367921",""
"147","9.903599529","20.185.212.106","192.168.1.10","TCP","54","443  >  37642 [ACK] Seq=516 Ack=5421 Win=2051 Len=0","0.222295427",""
"258","10.646355592","13.75.106.0","192.168.1.10","TCP","54","443  >  46287 [ACK] Seq=4759 Ack=513 Win=2047 Len=0","0.157744968",""
"284","10.798794938","20.185.212.106","192.168.1.10","TCP","54","443  >  37640 [ACK] Seq=3927 Ack=5301 Win=2051 Len=0","0.225018149",""
"286","10.800352461","52.247.2.90","192.168.1.10","TCP","66","443  >  56956 [ACK] Seq=2 Ack=2 Win=1022 Len=0 TSval=129555853 TSecr=3222059968","0.226713228",""
"287","10.800558671","20.185.212.106","192.168.1.10","TCP","54","443  >  37642 [ACK] Seq=1924 Ack=8271 Win=2051 Len=0","0.222480740",""
"311","10.972875138","20.185.212.106","192.168.1.10","TCP","54","[TCP ACKed unseen segment] 443  >  37648 [ACK] Seq=1 Ack=2723 Win=2051 Len=0","0.220772267",""
"313","10.975582501","20.185.212.106","192.168.1.10","TCP","54","[TCP ACKed unseen segment] 443  >  37638 [ACK] Seq=1 Ack=2764 Win=2051 Len=0","0.221767982",""
"384","11.442389418","20.185.212.106","192.168.1.10","TCP","54","443  >  37640 [ACK] Seq=4845 Ack=7951 Win=2051 Len=0","0.225276760",""
"1116","15.057546749","40.77.18.167","192.168.1.10","TCP","66","443  >  35408 [ACK] Seq=1 Ack=2209 Win=1028 Len=0 TSval=259998688 TSecr=2829197147","0.261724655",""
"1118","15.068896295","40.77.18.167","192.168.1.10","TLSv1.2","492","Application Data","0.273069062",""
"2709","24.082241149","40.77.18.167","192.168.1.10","TCP","66","443  >  35408 [ACK] Seq=427 Ack=5914 Win=1028 Len=0 TSval=260007713 TSecr=2829206173","0.261401781",""
"2714","24.082418893","40.77.18.167","192.168.1.10","TCP","66","443  >  35408 [ACK] Seq=427 Ack=8714 Win=1028 Len=0 TSval=260007713 TSecr=2829206173","0.261567826",""
"2717","24.082926796","40.77.18.167","192.168.1.10","TCP","66","443  >  35408 [ACK] Seq=427 Ack=11514 Win=1028 Len=0 TSval=260007714 TSecr=2829206173","0.261403255",""
"2718","24.083099618","40.77.18.167","192.168.1.10","TCP","66","443  >  35408 [ACK] Seq=427 Ack=14314 Win=1028 Len=0 TSval=260007714 TSecr=2829206173","0.261537064",""
"2719","24.083474955","40.77.18.167","192.168.1.10","TCP","66","443  >  35408 [ACK] Seq=427 Ack=17114 Win=1028 Len=0 TSval=260007714 TSecr=2829206173","0.261598558",""
"2763","24.344206915","40.77.18.167","192.168.1.10","TCP","66","443  >  35408 [ACK] Seq=427 Ack=19914 Win=1028 Len=0 TSval=260007975 TSecr=2829206434","0.261930823",""
"2764","24.344793661","40.77.18.167","192.168.1.10","TCP","66","443  >  35408 [ACK] Seq=427 Ack=22714 Win=1028 Len=0 TSval=260007975 TSecr=2829206434","0.262509937",""
"2765","24.344809059","40.77.18.167","192.168.1.10","TCP","66","443  >  35408 [ACK] Seq=427 Ack=25352 Win=1028 Len=0 TSval=260007975 TSecr=2829206435","0.261955246",""
"2820","24.625676726","40.77.18.167","192.168.1.10","TCP","66","443  >  35408 [ACK] Seq=873 Ack=25353 Win=1028 Len=0 TSval=260008256 TSecr=2829206717","0.260870658",""
"3410","27.965154843","52.114.15.57","192.168.1.10","TCP","54","443  >  38629 [ACK] Seq=5379 Ack=2237 Win=524544 Len=0","0.114419193",""
"4298","33.042827047","20.185.212.106","192.168.1.10","TCP","54","443  >  37638 [ACK] Seq=1182 Ack=5309 Win=2051 Len=0","0.222039114",""
"4352","33.380761990","20.185.212.106","192.168.1.10","TCP","54","443  >  37638 [ACK] Seq=1701 Ack=7879 Win=2051 Len=0","0.222234986",""
"4382","33.612792675","40.83.97.152","192.168.1.10","TCP","54","[TCP ACKed unseen segment] 443  >  45902 [ACK] Seq=1 Ack=380 Win=2048 Len=0","0.103719013",""
"4413","33.778137781","52.114.15.57","192.168.1.10","TCP","54","[TCP Previous segment not captured] 443  >  38629 [FIN, ACK] Seq=5533 Ack=2238 Win=524544 Len=0","0.069651912","â\234\223"
"4419","33.790839875","20.185.212.106","192.168.1.10","TCP","54","443  >  37638 [ACK] Seq=2331 Ack=10555 Win=2051 Len=0","0.221426720",""
"4420","33.791387731","20.185.212.106","192.168.1.10","TCP","54","443  >  37648 [ACK] Seq=1207 Ack=5415 Win=2051 Len=0","0.220289337",""
